source	target	source_genesymbol	target_genesymbol	istruelr	isphysical	issmallmolecule
O00182	P08575	LGALS9	PTPRC	True	True	False
O00182	P08581	LGALS9	MET	True	False	False
O00182	P16070	LGALS9	CD44	True	True	False
O00182	Q07954	LGALS9	LRP1	True	True	False
O00182	Q08722	LGALS9	CD47	True	True	False
O00182	Q15262	LGALS9	PTPRK	True	True	False
O00182	Q5KU26	LGALS9	COLEC12	True	False	False
O00182	Q8TDQ0	LGALS9	HAVCR2	True	False	False
O00182	Q9UBG0	LGALS9	MRC2	True	False	False
O00548	P46531	DLL1	NOTCH1	True	True	False
O00548	Q04721	DLL1	NOTCH2	True	True	False
O00548	Q99466	DLL1	NOTCH4	True	True	False
O00548	Q9UM47	DLL1	NOTCH3	True	True	False
O00592	P14151	PODXL	SELL	False	True	False
O14511	COMPLEX:P04626_P21860	NRG2	ERBB2_ERBB3	True	False	False
O14511	COMPLEX:P04626_Q15303	NRG2	ERBB2_ERBB4	True	False	False
O14514	Q9BZR6	ADGRB1	RTN4R	False	True	False
O14672	O95858	ADAM10	TSPAN15	False	True	False
O14672	O95859	ADAM10	TSPAN12	False	True	False
O14672	P08581	ADAM10	MET	False	True	False
O14672	P08887	ADAM10	IL6R	False	True	False
O14672	P16070	ADAM10	CD44	False	True	False
O14672	P29320	ADAM10	EPHA3	False	True	False
O14672	P30530	ADAM10	AXL	False	True	False
O14672	P46531	ADAM10	NOTCH1	False	True	False
O14672	Q04721	ADAM10	NOTCH2	False	True	False
O14672	Q92823	ADAM10	NRCAM	False	True	False
O14672	Q96FV3	ADAM10	TSPAN17	False	True	False
O14672	Q9NZC2	ADAM10	TREM2	False	True	False
O14788	O00300	TNFSF11	TNFRSF11B	True	False	False
O14788	Q9BXB1	TNFSF11	LGR4	True	False	False
O14788	Q9Y6Q6	TNFSF11	TNFRSF11A	True	False	False
O14944	COMPLEX:P00533_P04626	EREG	EGFR_ERBB2	True	False	False
O14944	COMPLEX:P04626_Q15303	EREG	ERBB2_ERBB4	True	False	False
O14944	P21860	EREG	ERBB3	True	False	False
O43184	P05556	ADAM12	ITGB1	False	True	False
O43184	Q13797	ADAM12	ITGA9	False	True	False
O43508	P28908	TNFSF12	TNFRSF8	True	False	False
O43508	Q86VB7	TNFSF12	CD163	True	False	False
O43508	Q93038	TNFSF12	TNFRSF25	True	False	False
O43508	Q9NP84	TNFSF12	TNFRSF12A	True	False	False
O43557	O95407	TNFSF14	TNFRSF6B	True	False	False
O43557	P36941	TNFSF14	LTBR	True	False	False
O43557	Q92956	TNFSF14	TNFRSF14	True	False	False
O75077	P05106	ADAM23	ITGB3	False	True	False
O75077	P08648	ADAM23	ITGA5	False	True	False
O75077	P13612	ADAM23	ITGA4	False	True	False
O75078	P13612	ADAM11	ITGA4	False	True	False
O75144	P10747	ICOSLG	CD28	True	True	False
O75144	P16410	ICOSLG	CTLA4	True	True	False
O75144	Q9Y6W8	ICOSLG	ICOS	True	True	False
O75326	COMPLEX:P05556_P56199	SEMA7A	ITGB1_ITGA1	True	True	False
O75326	O60486	SEMA7A	PLXNC1	True	False	False
O75888	O00300	TNFSF13	TNFRSF11B	True	False	False
O75888	O14836	TNFSF13	TNFRSF13B	True	False	False
O75888	P19438	TNFSF13	TNFRSF1A	True	False	False
O75888	P25445	TNFSF13	FAS	True	False	False
O75888	P34741	TNFSF13	SDC2	True	True	False
O75888	Q02223	TNFSF13	TNFRSF17	True	False	False
O75888	Q92956	TNFSF13	TNFRSF14	True	False	False
O94856	COMPLEX:P78357_Q12860	NFASC	CNTNAP1_CNTN1	False	True	False
O94933	P23468	SLITRK3	PTPRD	False	True	False
O94933	Q13332	SLITRK3	PTPRS	False	True	False
O94991	P23468	SLITRK5	PTPRD	False	True	False
O95150	O95407	TNFSF15	TNFRSF6B	True	False	False
O95150	Q93038	TNFSF15	TNFRSF25	True	False	False
P01135	COMPLEX:P00533_P04626	TGFA	EGFR_ERBB2	True	False	False
P01135	P21860	TGFA	ERBB3	True	False	False
P01135	Q15303	TGFA	ERBB4	True	False	False
P01375	O15552	TNF	FFAR2	True	False	False
P01375	O75509	TNF	TNFRSF21	True	False	False
P01375	P19438	TNF	TNFRSF1A	True	False	False
P01375	P20333	TNF	TNFRSF1B	True	False	False
P01375	P25445	TNF	FAS	True	False	False
P01375	P35916	TNF	FLT4	True	False	False
P01375	P46531	TNF	NOTCH1	True	True	False
P01375	Q13332	TNF	PTPRS	True	True	False
P01375	Q9C0C4	TNF	SEMA4C	True	False	False
P01375	Q9H7M9	TNF	VSIR	True	False	False
P01375	Q9HCU4	TNF	CELSR2	True	True	False
P01375	Q9Y6W8	TNF	ICOS	True	True	False
P01889	A6NJW9	HLA-B	CD8B2	True	False	False
P01889	O75019	HLA-B	LILRA1	True	False	False
P01889	P01732	HLA-B	CD8A	True	True	False
P01889	P04234	HLA-B	CD3D	True	False	False
P01889	P09693	HLA-B	CD3G	True	False	False
P01889	P10966	HLA-B	CD8B	True	False	False
P01889	P43628	HLA-B	KIR2DL3	True	True	False
P01889	P43629	HLA-B	KIR3DL1	True	True	False
P01889	P43630	HLA-B	KIR3DL2	True	False	False
P01889	Q13241	HLA-B	KLRD1	True	False	False
P01889	Q8N423	HLA-B	LILRB2	True	True	False
P01889	Q8NHL6	HLA-B	LILRB1	True	False	False
P01903	P01730	HLA-DRA	CD4	True	False	False
P01903	P18627	HLA-DRA	LAG3	False	False	False
P01906	P01730	HLA-DQA2	CD4	True	False	False
P01906	P18627	HLA-DQA2	LAG3	False	False	False
P01909	P01730	HLA-DQA1	CD4	False	False	False
P01909	P18627	HLA-DQA1	LAG3	False	False	False
P01911	P01730	HLA-DRB1	CD4	True	False	False
P01911	P18627	HLA-DRB1	LAG3	False	False	False
P01920	P01730	HLA-DQB1	CD4	False	False	False
P01920	P18627	HLA-DQB1	LAG3	False	False	False
P04083	COMPLEX:P25089_P25090	ANXA1	FPR3_FPR2	True	True	False
P04083	P00533	ANXA1	EGFR	True	True	False
P04083	P08913	ANXA1	ADRA2A	True	True	False
P04083	P21462	ANXA1	FPR1	True	True	False
