source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	source_transmembrane	source_peripheral	source_secreted	source_integrin	source_other	source_other_desc	source_Small_Molecule	target_transmembrane	target_peripheral	target_secreted	target_integrin	target_other	target_other_desc	target_Small_Molecule
PTGR1	LTB4R	Q14914	Q15722	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
PTGR1	LTB4R2	Q14914	Q9NPC1	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CYP11A1	NR1H4	P05108	Q96RI1	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
CYP3A4	NR1H4	P08684	Q96RI1	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
DAGLA	CNR1	Q9Y4D2	P21554	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLA	CNR2	Q9Y4D2	P34972	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLA	GPR55	Q9Y4D2	Q9Y2T6	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLB	CNR1	Q8NCG7	P21554	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLB	CNR2	Q8NCG7	P34972	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLB	GPR55	Q8NCG7	Q9Y2T6	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	OXER1	COMPLEX:P09917_P20292_Q16873	Q8TDS5	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
WNT11	KLRG2	O96014	A4D1S0	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
TNFSF9	KLRG2	P41273	A4D1S0	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
WNT5B	KLRG2	Q9H1J7	A4D1S0	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
DDC	HTR3E	P20711	A5X5Y0	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
BMP10	COMPLEX:ACVR2A_ACVRL1	O95393	COMPLEX:P27037_P37023	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
