source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	database	source_transmembrane	source_peripheral	source_secreted	source_integrin	source_other	source_other_desc	source_Small_Molecule	target_transmembrane	target_peripheral	target_secreted	target_integrin	target_other	target_other_desc	target_Small_Molecule
PTGR1	LTB4R	Q14914	Q15722	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
PTGR1	LTB4R2	Q14914	Q9NPC1	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CYP11A1	NR1H4	P05108	Q96RI1	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
CYP3A4	NR1H4	P08684	Q96RI1	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
DAGLA	CNR1	Q9Y4D2	P21554	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLA	CNR2	Q9Y4D2	P34972	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLA	GPR55	Q9Y4D2	Q9Y2T6	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLB	CNR1	Q8NCG7	P21554	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLB	CNR2	Q8NCG7	P34972	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
DAGLB	GPR55	Q8NCG7	Q9Y2T6	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:ALOX5_ALOX5AP_LTC4S	OXER1	COMPLEX:P09917_P20292_Q16873	Q8TDS5	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
APP	FPR2	P05067	P25090	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
APP	SORL1	P05067	Q92673	CellPhoneDB_v4	True	False	False	False	False		na	True	False	True	False	False		na
APP	TNFRSF21	P05067	O75509	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
APP	COMPLEX:TYROBP_TREM2	P05067	COMPLEX:O43914_Q9NZC2	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
APP	CD74	P05067	P04233	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
ENTPD1	ADORA1	P49961	P30542	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
