source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	pathway	annotation
ACER1	S1PR1	na	na	Pavlicev2017	ACER1	Small Molecule-Mediated
ACER1	S1PR2	na	na	Pavlicev2017	ACER1	Small Molecule-Mediated
ACER1	S1PR3	na	na	Pavlicev2017	ACER1	Small Molecule-Mediated
ACER1	S1PR4	na	na	Pavlicev2017	ACER1	Small Molecule-Mediated
ACER1	S1PR5	na	na	Pavlicev2017	ACER1	Small Molecule-Mediated
ACER2	S1PR1	na	na	Pavlicev2017	ACER2	Small Molecule-Mediated
ACER2	S1PR2	na	na	Pavlicev2017	ACER2	Small Molecule-Mediated
ACER2	S1PR3	na	na	Pavlicev2017	ACER2	Small Molecule-Mediated
ACER2	S1PR4	na	na	Pavlicev2017	ACER2	Small Molecule-Mediated
ACER2	S1PR5	na	na	Pavlicev2017	ACER2	Small Molecule-Mediated
ACER3	S1PR1	na	na	Pavlicev2017	ACER3	Small Molecule-Mediated
ACER3	S1PR2	na	na	Pavlicev2017	ACER3	Small Molecule-Mediated
ACER3	S1PR3	na	na	Pavlicev2017	ACER3	Small Molecule-Mediated
ACER3	S1PR4	na	na	Pavlicev2017	ACER3	Small Molecule-Mediated
ACER3	S1PR5	na	na	Pavlicev2017	ACER3	Small Molecule-Mediated
ALOX5	CYSLTR1	na	na	Pavlicev2017	ALOX5	Small Molecule-Mediated
ALOX5	CYSLTR2	na	na	Pavlicev2017	ALOX5	Small Molecule-Mediated
ALOX5	FPR2	na	na	Pavlicev2017	ALOX5	Small Molecule-Mediated
ALOX5AP	CYSLTR1	na	na	Pavlicev2017	ALOX5AP	Small Molecule-Mediated
ALOX5AP	CYSLTR2	na	na	Pavlicev2017	ALOX5AP	Small Molecule-Mediated
ALOX5AP	FPR2	na	na	Pavlicev2017	ALOX5AP	Small Molecule-Mediated
ASAH1	S1PR1	na	na	Pavlicev2017	ASAH1	Small Molecule-Mediated
ASAH1	S1PR2	na	na	Pavlicev2017	ASAH1	Small Molecule-Mediated
ASAH1	S1PR3	na	na	Pavlicev2017	ASAH1	Small Molecule-Mediated
ASAH1	S1PR4	na	na	Pavlicev2017	ASAH1	Small Molecule-Mediated
ASAH1	S1PR5	na	na	Pavlicev2017	ASAH1	Small Molecule-Mediated
ASAH2	S1PR1	na	na	Pavlicev2017	ASAH2	Small Molecule-Mediated
ASAH2	S1PR2	na	na	Pavlicev2017	ASAH2	Small Molecule-Mediated
ASAH2	S1PR3	na	na	Pavlicev2017	ASAH2	Small Molecule-Mediated
ASAH2	S1PR4	na	na	Pavlicev2017	ASAH2	Small Molecule-Mediated
ASAH2	S1PR5	na	na	Pavlicev2017	ASAH2	Small Molecule-Mediated
ASAH2B	S1PR1	na	na	Pavlicev2017	ASAH2B	Small Molecule-Mediated
ASAH2B	S1PR2	na	na	Pavlicev2017	ASAH2B	Small Molecule-Mediated
ASAH2B	S1PR3	na	na	Pavlicev2017	ASAH2B	Small Molecule-Mediated
ASAH2B	S1PR4	na	na	Pavlicev2017	ASAH2B	Small Molecule-Mediated
ASAH2B	S1PR5	na	na	Pavlicev2017	ASAH2B	Small Molecule-Mediated
BDH1	HCAR2	na	na	Pavlicev2017	BDH1	Small Molecule-Mediated
