"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"ACER1_S1PR1","ACER1_S1PR1","S1P","ACER1","S1PR1","","","","","","Small Molecule-Mediated","ACER1 - S1PR1"
"ACER1_S1PR2","ACER1_S1PR2","S1P","ACER1","S1PR2","","","","","","Small Molecule-Mediated","ACER1 - S1PR2"
"ACER1_S1PR3","ACER1_S1PR3","S1P","ACER1","S1PR3","","","","","","Small Molecule-Mediated","ACER1 - S1PR3"
"ACER1_S1PR4","ACER1_S1PR4","S1P","ACER1","S1PR4","","","","","","Small Molecule-Mediated","ACER1 - S1PR4"
"ACER1_S1PR5","ACER1_S1PR5","S1P","ACER1","S1PR5","","","","","","Small Molecule-Mediated","ACER1 - S1PR5"
"ACER2_S1PR1","ACER2_S1PR1","S1P","ACER2","S1PR1","","","","","","Small Molecule-Mediated","ACER2 - S1PR1"
"ACER2_S1PR2","ACER2_S1PR2","S1P","ACER2","S1PR2","","","","","","Small Molecule-Mediated","ACER2 - S1PR2"
"ACER2_S1PR3","ACER2_S1PR3","S1P","ACER2","S1PR3","","","","","","Small Molecule-Mediated","ACER2 - S1PR3"
"ACER2_S1PR4","ACER2_S1PR4","S1P","ACER2","S1PR4","","","","","","Small Molecule-Mediated","ACER2 - S1PR4"
"ACER2_S1PR5","ACER2_S1PR5","S1P","ACER2","S1PR5","","","","","","Small Molecule-Mediated","ACER2 - S1PR5"
"ACER3_S1PR1","ACER3_S1PR1","S1P","ACER3","S1PR1","","","","","","Small Molecule-Mediated","ACER3 - S1PR1"
"ACER3_S1PR2","ACER3_S1PR2","S1P","ACER3","S1PR2","","","","","","Small Molecule-Mediated","ACER3 - S1PR2"
"ACER3_S1PR3","ACER3_S1PR3","S1P","ACER3","S1PR3","","","","","","Small Molecule-Mediated","ACER3 - S1PR3"
"ACER3_S1PR4","ACER3_S1PR4","S1P","ACER3","S1PR4","","","","","","Small Molecule-Mediated","ACER3 - S1PR4"
"ACER3_S1PR5","ACER3_S1PR5","S1P","ACER3","S1PR5","","","","","","Small Molecule-Mediated","ACER3 - S1PR5"
"ALOX5_CYSLTR1","ALOX5_CYSLTR1","EICOSANOID","ALOX5","CYSLTR1","","","","","","Small Molecule-Mediated","ALOX5 - CYSLTR1"
"ALOX5_CYSLTR2","ALOX5_CYSLTR2","EICOSANOID","ALOX5","CYSLTR2","","","","","","Small Molecule-Mediated","ALOX5 - CYSLTR2"
"ALOX5_FPR2","ALOX5_FPR2","EICOSANOID","ALOX5","FPR2","","","","","","Small Molecule-Mediated","ALOX5 - FPR2"
"ALOX5AP_CYSLTR1","ALOX5AP_CYSLTR1","EICOSANOID","ALOX5AP","CYSLTR1","","","","","","Small Molecule-Mediated","ALOX5AP - CYSLTR1"
"ALOX5AP_CYSLTR2","ALOX5AP_CYSLTR2","EICOSANOID","ALOX5AP","CYSLTR2","","","","","","Small Molecule-Mediated","ALOX5AP - CYSLTR2"
"ALOX5AP_FPR2","ALOX5AP_FPR2","EICOSANOID","ALOX5AP","FPR2","","","","","","Small Molecule-Mediated","ALOX5AP - FPR2"
"ASAH1_S1PR1","ASAH1_S1PR1","S1P","ASAH1","S1PR1","","","","","","Small Molecule-Mediated","ASAH1 - S1PR1"
"ASAH1_S1PR2","ASAH1_S1PR2","S1P","ASAH1","S1PR2","","","","","","Small Molecule-Mediated","ASAH1 - S1PR2"
"ASAH1_S1PR3","ASAH1_S1PR3","S1P","ASAH1","S1PR3","","","","","","Small Molecule-Mediated","ASAH1 - S1PR3"
"ASAH1_S1PR4","ASAH1_S1PR4","S1P","ASAH1","S1PR4","","","","","","Small Molecule-Mediated","ASAH1 - S1PR4"
"ASAH1_S1PR5","ASAH1_S1PR5","S1P","ASAH1","S1PR5","","","","","","Small Molecule-Mediated","ASAH1 - S1PR5"
"ASAH2_S1PR1","ASAH2_S1PR1","S1P","ASAH2","S1PR1","","","","","","Small Molecule-Mediated","ASAH2 - S1PR1"
"ASAH2_S1PR2","ASAH2_S1PR2","S1P","ASAH2","S1PR2","","","","","","Small Molecule-Mediated","ASAH2 - S1PR2"
"ASAH2_S1PR3","ASAH2_S1PR3","S1P","ASAH2","S1PR3","","","","","","Small Molecule-Mediated","ASAH2 - S1PR3"
"ASAH2_S1PR4","ASAH2_S1PR4","S1P","ASAH2","S1PR4","","","","","","Small Molecule-Mediated","ASAH2 - S1PR4"
"ASAH2_S1PR5","ASAH2_S1PR5","S1P","ASAH2","S1PR5","","","","","","Small Molecule-Mediated","ASAH2 - S1PR5"
"ASAH2B_S1PR1","ASAH2B_S1PR1","S1P","ASAH2B","S1PR1","","","","","","Small Molecule-Mediated","ASAH2B - S1PR1"
"ASAH2B_S1PR2","ASAH2B_S1PR2","S1P","ASAH2B","S1PR2","","","","","","Small Molecule-Mediated","ASAH2B - S1PR2"
"ASAH2B_S1PR3","ASAH2B_S1PR3","S1P","ASAH2B","S1PR3","","","","","","Small Molecule-Mediated","ASAH2B - S1PR3"
"ASAH2B_S1PR4","ASAH2B_S1PR4","S1P","ASAH2B","S1PR4","","","","","","Small Molecule-Mediated","ASAH2B - S1PR4"
"ASAH2B_S1PR5","ASAH2B_S1PR5","S1P","ASAH2B","S1PR5","","","","","","Small Molecule-Mediated","ASAH2B - S1PR5"
"BDH1_HCAR2","BDH1_HCAR2","HCA","BDH1","HCAR2","","","","","","Small Molecule-Mediated","BDH1 - HCAR2"
"CYP19A1_GPER1","CYP19A1_GPER1","E2","CYP19A1","GPER1","","","","","","Small Molecule-Mediated","CYP19A1 - GPER1"
"CYP2S1_LTB4R2","CYP2S1_LTB4R2","EICOSANOID","CYP2S1","LTB4R2","","","","","","Small Molecule-Mediated","CYP2S1 - LTB4R2"
"DDC_DRD1","DDC_DRD1","DA","DDC","DRD1","","","","","","Small Molecule-Mediated","DDC - DRD1"
"DDC_DRD2","DDC_DRD2","DA","DDC","DRD2","","","","","","Small Molecule-Mediated","DDC - DRD2"
"DDC_DRD3","DDC_DRD3","DA","DDC","DRD3","","","","","","Small Molecule-Mediated","DDC - DRD3"
"DDC_DRD4","DDC_DRD4","DA","DDC","DRD4","","","","","","Small Molecule-Mediated","DDC - DRD4"
"DDC_DRD5","DDC_DRD5","DA","DDC","DRD5","","","","","","Small Molecule-Mediated","DDC - DRD5"
"DDC_HTR1A","DDC_HTR1A","DA","DDC","HTR1A","","","","","","Small Molecule-Mediated","DDC - HTR1A"
"DDC_HTR1B","DDC_HTR1B","DA","DDC","HTR1B","","","","","","Small Molecule-Mediated","DDC - HTR1B"
"DDC_HTR1D","DDC_HTR1D","DA","DDC","HTR1D","","","","","","Small Molecule-Mediated","DDC - HTR1D"
"DDC_HTR1E","DDC_HTR1E","DA","DDC","HTR1E","","","","","","Small Molecule-Mediated","DDC - HTR1E"
"DDC_HTR1F","DDC_HTR1F","DA","DDC","HTR1F","","","","","","Small Molecule-Mediated","DDC - HTR1F"
"DDC_HTR2A","DDC_HTR2A","DA","DDC","HTR2A","","","","","","Small Molecule-Mediated","DDC - HTR2A"
