"source" "target" "source_genesymbol" "target_genesymbol" "category_intercell_source" "database_intercell_source" "category_intercell_target" "database_intercell_target" "sources" "references"
"1" "O00182" "P08575" "LGALS9" "PTPRC" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellChatDB;Cellinker" "CellChatDB:30120235;Cellinker:30120235"
"2" "O00182" "P08581" "LGALS9" "MET" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellPhoneDB;InnateDB-All_CellPhoneDB" ""
"3" "O00182" "P16070" "LGALS9" "CD44" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;InnateDB;InnateDB_CellPhoneDB;connectomeDB2020" "CellChatDB:25065622;CellTalkDB:32103204;Cellinker:25065622;InnateDB:20206131;connectomeDB2020:25065622"
"4" "O00182" "Q07954" "LGALS9" "LRP1" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "CellPhoneDB;InnateDB-All_CellPhoneDB" ""
"5" "O00182" "Q08722" "LGALS9" "CD47" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "CellPhoneDB;CellTalkDB;InnateDB-All_CellPhoneDB" "CellTalkDB:32103204"
"6" "O00182" "Q15262" "LGALS9" "PTPRK" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;CellTalkDB" "CellPhoneDB;InnateDB-All_CellPhoneDB" ""
"7" "O00182" "Q5KU26" "LGALS9" "COLEC12" "cell_surface_ligand" "CellPhoneDB" "receptor" "CellPhoneDB" "CellPhoneDB;InnateDB-All_CellPhoneDB" ""
"8" "O00182" "Q8TDQ0" "LGALS9" "HAVCR2" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;ICELLNET;InnateDB;LRdb;connectomeDB2020;iTALK" "CellChatDB:27192565;CellPhoneDB:27192565;CellTalkDB:27192565;Cellinker:27192565;ICELLNET:16286920;ICELLNET:27192565;InnateDB:23967307;LRdb:22437870;connectomeDB2020:27192565"
"9" "O00182" "Q9UBG0" "LGALS9" "MRC2" "cell_surface_ligand" "CellPhoneDB" "receptor" "CellPhoneDB;CellTalkDB" "CellPhoneDB;CellTalkDB;InnateDB-All_CellPhoneDB" "CellTalkDB:32103204"
"10" "O00548" "P46531" "DLL1" "NOTCH1" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:9819428;HPRD:11006133;ICELLNET:21685328;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428"
"11" "O00548" "Q04721" "DLL1" "NOTCH2" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:10958687;BioGRID:9244302;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:10958687;Cellinker:10958687;Cellinker:22353464;HPRD:10958687;ICELLNET:21685328;LRdb:10958687;NetPath:10958687;SIGNOR:23111325;connectomeDB2020:10958687"
"12" "O00548" "Q99466" "DLL1" "NOTCH4" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:22353464;Cellinker:29910816;connectomeDB2020:22353464"
